measured,modelled
1,1.0728842567881807
1.5,1.815482634559807
2,2.6367703699974028
3,4.461814764980021
4,6.480249794054794
6,10.965563987242811
8,15.92616401912487
10,21.273079470850035
12,26.949481296733058
15,35.997271950429855
20,52.281711911084244
30,88.46857382713131
45,149.70222414134923
50,171.6281081289407
60,217.42449166104433
90,367.9151655373307
120,534.3525675731629
